HDR,ROLLING SYSTEM DEMAND
VD,20210103132500,36429
VD,20210103133000,36464
VD,20210103133500,36499
VD,20210103134000,36547
VD,20210103134500,36549
VD,20210103135000,36581
VD,20210103135500,36541
VD,20210103140000,36646
VD,20210103140500,36740
VD,20210103141000,36778
VD,20210103141500,36817
VD,20210103142000,37016
VD,20210103142500,37118
VD,20210103143000,37136
VD,20210103143500,37169
VD,20210103144000,37239
VD,20210103144500,37313
VD,20210103145000,37419
VD,20210103145500,37585
VD,20210103150000,37733
VD,20210103150500,37952
VD,20210103151000,38198
VD,20210103151500,38359
VD,20210103152000,38430
VD,20210103152500,38579
VD,20210103153000,38697
VD,20210103153500,38731
VD,20210103154000,38808
VD,20210103154500,38943
VD,20210103155000,39027
VD,20210103155500,39543
VD,20210103160000,39937
VD,20210103160500,40188
VD,20210103161000,40365
VD,20210103161500,40711
VD,20210103162000,41047
VD,20210103162500,41544
VD,20210103163000,41847
VD,20210103163500,42037
VD,20210103164000,42292
VD,20210103164500,42578
VD,20210103165000,42790
VD,20210103165500,42919
VD,20210103170000,43034
VD,20210103170500,43051
VD,20210103171000,43134
VD,20210103171500,43250
VD,20210103172000,43315
VD,20210103172500,43364
VD,20210103173000,43280
VD,20210103173500,43223
VD,20210103174000,43216
VD,20210103174500,43154
VD,20210103175000,43006
VD,20210103175500,42866
VD,20210103180000,42821
VD,20210103180500,41970
VD,20210103181000,41928
VD,20210103181500,41702
VD,20210103182000,41826
VD,20210103182500,41972
VD,20210103183000,41834
VD,20210103183500,41702
VD,20210103184000,41393
VD,20210103184500,41057
VD,20210103185000,40830
VD,20210103185500,40510
VD,20210103190000,40215
VD,20210103190500,40134
VD,20210103191000,39799
VD,20210103191500,39419
VD,20210103192000,39105
VD,20210103192500,38704
VD,20210103193000,38558
VD,20210103193500,38422
VD,20210103194000,38333
VD,20210103194500,37987
VD,20210103195000,37510
VD,20210103195500,37252
VD,20210103200000,37138
VD,20210103200500,36998
VD,20210103201000,36948
VD,20210103201500,36767
VD,20210103202000,36581
VD,20210103202500,36247
VD,20210103203000,36009
VD,20210103203500,35800
VD,20210103204000,35464
VD,20210103204500,35115
VD,20210103205000,34918
VD,20210103205500,34691
VD,20210103210000,34577
VD,20210103210500,34333
VD,20210103211000,34027
VD,20210103211500,33732
VD,20210103212000,33469
VD,20210103212500,33179
VD,20210103213000,32989
VD,20210103213500,32773
VD,20210103214000,32588
VD,20210103214500,32334
VD,20210103215000,32075
VD,20210103215500,31850
VD,20210103220000,31697
VD,20210103220500,31510
VD,20210103221000,31401
VD,20210103221500,31006
VD,20210103222000,30699
VD,20210103222500,30396
VD,20210103223000,30297
VD,20210103223500,30253
VD,20210103224000,30017
VD,20210103224500,29761
VD,20210103225000,29429
VD,20210103225500,29043
VD,20210103230000,28699
VD,20210103230500,28340
VD,20210103231000,28175
VD,20210103231500,28006
VD,20210103232000,27912
VD,20210103232500,27736
VD,20210103233000,27490
VD,20210103233500,27376
VD,20210103234000,27277
VD,20210103234500,27059
VD,20210103235000,26804
VD,20210103235500,26643
VD,20210104000000,26596
VD,20210104000500,26719
VD,20210104001000,26785
VD,20210104001500,26746
VD,20210104002000,26691
VD,20210104002500,26680
VD,20210104003000,26683
VD,20210104003500,26804
VD,20210104004000,26815
VD,20210104004500,26830
VD,20210104005000,26861
VD,20210104005500,26950
VD,20210104010000,26963
VD,20210104010500,27043
VD,20210104011000,27100
VD,20210104011500,27039
VD,20210104012000,27001
VD,20210104012500,27046
VD,20210104013000,27099
VD,20210104013500,27060
VD,20210104014000,26910
VD,20210104014500,26802
VD,20210104015000,26723
VD,20210104015500,26485
VD,20210104020000,26305
VD,20210104020500,26341
VD,20210104021000,26345
VD,20210104021500,26364
VD,20210104022000,26399
VD,20210104022500,26336
VD,20210104023000,26297
VD,20210104023500,26324
VD,20210104024000,26380
VD,20210104024500,26299
VD,20210104025000,26314
VD,20210104025500,26276
VD,20210104030000,26230
VD,20210104030500,26288
VD,20210104031000,26238
VD,20210104031500,26218
VD,20210104032000,26306
VD,20210104032500,26348
VD,20210104033000,26357
VD,20210104033500,26298
VD,20210104034000,26195
VD,20210104034500,26136
VD,20210104035000,26100
VD,20210104035500,26000
VD,20210104040000,25871
VD,20210104040500,25612
VD,20210104041000,25549
VD,20210104041500,25700
VD,20210104042000,25752
VD,20210104042500,25895
VD,20210104043000,26011
VD,20210104043500,26065
VD,20210104044000,26087
VD,20210104044500,26006
VD,20210104045000,25945
VD,20210104045500,26005
VD,20210104050000,26172
VD,20210104050500,26255
VD,20210104051000,26363
VD,20210104051500,26492
VD,20210104052000,26581
VD,20210104052500,26586
VD,20210104053000,26756
VD,20210104053500,27008
VD,20210104054000,27157
VD,20210104054500,27241
VD,20210104055000,27377
VD,20210104055500,27539
VD,20210104060000,27738
VD,20210104060500,28132
VD,20210104061000,28645
VD,20210104061500,28962
VD,20210104062000,29202
VD,20210104062500,29486
VD,20210104063000,29779
VD,20210104063500,30280
VD,20210104064000,30620
VD,20210104064500,30912
VD,20210104065000,31205
VD,20210104065500,31583
VD,20210104070000,31964
VD,20210104070500,32358
VD,20210104071000,32848
VD,20210104071500,33227
VD,20210104072000,33578
VD,20210104072500,33874
VD,20210104073000,34059
VD,20210104073500,34163
VD,20210104074000,34422
VD,20210104074500,34802
VD,20210104075000,35184
VD,20210104075500,35530
VD,20210104080000,35840
VD,20210104080500,36259
VD,20210104081000,36681
VD,20210104081500,36939
VD,20210104082000,37272
VD,20210104082500,37470
VD,20210104083000,37569
VD,20210104083500,37879
VD,20210104084000,38062
VD,20210104084500,38259
VD,20210104085000,38513
VD,20210104085500,38776
VD,20210104090000,39164
VD,20210104090500,39555
VD,20210104091000,39648
VD,20210104091500,39762
VD,20210104092000,39850
VD,20210104092500,39994
VD,20210104093000,40067
VD,20210104093500,40197
VD,20210104094000,40239
VD,20210104094500,40216
VD,20210104095000,40404
VD,20210104095500,40619
VD,20210104100000,40715
VD,20210104100500,40728
VD,20210104101000,40744
VD,20210104101500,40611
VD,20210104102000,40593
VD,20210104102500,40646
VD,20210104103000,40702
VD,20210104103500,40770
VD,20210104104000,40767
VD,20210104104500,40748
VD,20210104105000,40929
VD,20210104105500,40973
VD,20210104110000,41041
VD,20210104110500,41499
VD,20210104111000,41595
VD,20210104111500,41590
VD,20210104112000,41541
VD,20210104112500,41508
VD,20210104113000,41428
VD,20210104113500,41362
VD,20210104114000,41483
